customer_text,clean_customer_text,response_text,cluster
@115858 new ios 11 is awfully wrong!! Keeps on freezing needing a full restart twice per day!  You are killing your values! Need to solve it!,new ios 11 is awfully wrong keeps on freezing needing a full restart twice per day you are killing your values need to solve it,@360602 We'd be happy to review this for you. Are you experiencing this issue on the latest version of iOS 11.0.3?,2
"@AppleSupport Thank you for getting back to me. I updated on Friday and where I would normally be on 70% after a days usage and get up to 36hrs on one charge - now I am having to charge it every day, with same amount of usage. A bit disappoint after having phone for 5 weeks - any help welcome!",thank you for getting back to me i updated on friday and where i would normally be on 70 after a days usage and get up to 36hrs on one charge - now i am having to charge it every day with same amount of usage a bit disappoint after having phone for 5 weeks - any help welcome,"@791136 Got it, we'd like to take a deeper look into this with you. DM us and we'll continue there. https://t.co/GDrqU22YpT",2
Dear @applesupport the new IPhone terrible this is the 2nd one I’ve had to exchange. What is going on ? It’s always freezing and hanging up,dear the new iphone terrible this is the 2nd one i've had to exchange what is going on it's always freezing and hanging up,"@560595 We'd be happy to look into what's going on with your iPhone. To start, DM us which iPhone and iOS version you're having issues on. https://t.co/GDrqU22YpT",2
@AppleSupport Or “I have been drinking tonight. Please do not ask me any thing you need a serious answer to. I am sorry for the inconvenience.”,or i have been drinking tonight please do not ask me any thing you need a serious answer to i am sorry for the inconvenience,"@495581 We've got a place where you can leave suggestions, and let your voice be heard. Our feedback page: https://t.co/eTPVYVFyd8",2
@AppleSupport The last version before iOS11,the last version before ios11,"@820330 Let's try the steps here: https://t.co/I39AyMJNgb under the caption, ""Redownload an app."" Keep us posted on what you experience.",2
@AppleSupport While using apps specially. The wifi connectivity is not working properly. Battery problems..,while using apps specially the wifi connectivity is not working properly battery problems,@506908 Got it. What battery issues are you seeing? Are your apps updated to their latest versions as well?,2
"@AppleSupport  my phone isn't let me update to the newest iOS, I've tried downloading it trough iTunes and on my phone but it doesn't work",my phone isn't let me update to the newest ios i've tried downloading it trough itunes and on my phone but it doesn't work,@438076 Let's find out why you're not able to update your device. Are you seeing any error messages when you try to update?,2
"@AppleSupport is this a legit Apple email address? I got a ""Thank you for your purchase"" email from it, LOOKS official and everything but, you know: __email__",is this a legit apple email address i got a thank you for your purchase email from it looks official and everything but you know email,@622396 That is not from us. We've got an article that explains what to do and how to report these emails: https://t.co/LNMCdqt6fD,2
"Can anyone tell me why I just deleted 6 GB worth of photos and videos off my iPhone 6S, and somehow have the exact same amount of storage used after restarting my phone?",can anyone tell me why i just deleted 6 gb worth of photos and videos off my iphone 6s and somehow have the exact same amount of storage used after restarting my phone,@532900 We'll help. Check your Recently Deleted album in the Photos app. That hangs on to deleted photos for 30 days in case you need them back. Delete from there and you should see the space appear.,2
@AppleSupport My cellphone is taking photos upside down. I’ve tried calibrating the compass. Help!,my cellphone is taking photos upside down i've tried calibrating the compass help,"@417602 Let's figure this out. Which version of iOS are you running? Reply in DM to get started, https://t.co/GDrqU22YpT",2
@AppleSupport Thanks,thanks,@208243 You're welcome. Have a great day!,2
I keep hoping that each @115858 #iphone #ios update will be the one that returns my  phone back to the functioning device it was.,i keep hoping that each iphone ios update will be the one that returns my phone back to the functioning device it was,@656938 We want your device working great &amp; we're happy to help. What are some specific issues you're been experiencing since updating your iPhone?,2
@AppleSupport Thanks Apple Support. Must have been a glitch or something. It's showing what is expected now. All is well for #Siri https://t.co/edQexTjgy8,thanks apple support must have been a glitch or something it's showing what is expected now all is well for siri,"@316193 You’re welcome! If you have any other issues, let us know. We’re available every day from 5 a.m. to 8 p.m. Pacific time.",2
Hey @115858! Wann fixt ihr endlich das iOS 11?,hey wann fixt ihr endlich das ios 11,@442657 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,2
"@AppleSupport iPhone 6, ios 11.1.2. and i’m not to brave to upgrading, becuse from ios 11 is my iphone slower, and slower as it upgraded.",iphone 6 ios 11 1 2 and i'm not to brave to upgrading becuse from ios 11 is my iphone slower and slower as it upgraded,@149321 Thanks for that info. Could you tell us what you were doing when this happened? Did you exit an app in landscape mode?,2
@AppleSupport @115858 - I gave my phone for service due to certain issues.. After 2 weeks of service in center.. They gave back my phone say it is resolved but I am suffering from same issues... Please help.. Worst service.. Not expected...,- i gave my phone for service due to certain issues after 2 weeks of service in center they gave back my phone say it is resolved but i am suffering from same issues please help worst service not expected,"@711885 We've received your DM, and we'll continue with you there. Be on the lookout for a response.",2
"Both my phones fucking up &amp; i don’t give a flying fuck, i am not getting a new phone. Every time apple got a new phone out they start fucking with ppl phones 🏌🏾@115858",both my phones fucking up and i don't give a flying fuck i am not getting a new phone every time apple got a new phone out they start fucking with ppl phones,@257400 We'd like to hear about what's happening with your iPhones and lend our help to get it resolved.,2
"@AppleSupport Well, turns out that waiting 24h after updating the last iOS11 device did the trick… seems to work now. Thanks",well turns out that waiting 24h after updating the last ios11 device did the trick seems to work now thanks,@474040 Great to hear the issue is resolved! Please let us know if we can be of assistance in the future.,2
I’m not gonna tell y’all again... FIX THIS DAMN PROBLEM @115858,i'm not gonna tell y'all again fix this damn problem,@586768 Thanks for reaching out to us. Can you please DM us the issues that you are experiencing with your Apple product? https://t.co/GDrqU22YpT,2
"@AppleSupport Updated my phone to the 11.1 update, phone began lagging after that. Deleted apps to try to open up space&amp;still lags. Only 12gb of 64gb used",updated my phone to the 11 1 update phone began lagging after that deleted apps to try to open up spaceandstill lags only 12gb of 64gb used,@498544 Thank you for that information. We'd like to continue working with you in DM. https://t.co/GDrqU22YpT,2
"Hey @AppleSupport you’ve never ever answered me, but the new iOs won’t let me turn my flashlight on. Maybe could you help with this??",hey you've never ever answered me but the new ios won't let me turn my flashlight on maybe could you help with this,@147761 Let's see what we can do. What happens when you try to turn the flashlight on?,2
"Hi @115858. My iPhone 6 has become a useless piece of hardware with iOS 11. Battery goes out quickly, delays while typing and other bugs :-(",hi my iphone 6 has become a useless piece of hardware with ios 11 battery goes out quickly delays while typing and other bugs -,"@203279 We'd like to see how we can help. Join us in DM by clicking the link below, and we'll get started. https://t.co/GDrqU22YpT",2
@115858 can you help me with my tablet I can't figure out the Ethernet,can you help me with my tablet i can't figure out the ethernet,@532560 We'll help in any way we can. Do you have an iPad you're trying to connect to Wi-Fi?,2
@115858 you need to sort out your stupid IOS update! All my phone does is crash and freeze!,you need to sort out your stupid ios update all my phone does is crash and freeze,@174686 We want to help. Please let us know more about when you notice this behavior the most.,2
"Anyone notice iPad/iPhone charger cords eventually just stop working? I’ve never had this happen w/ ANY other kind of charger cord, @115858.",anyone notice ipad iphone charger cords eventually just stop working i've never had this happen w any other kind of charger cord,@382032 We'd like to see if we can help. DM us and we can get started. https://t.co/GDrqU22YpT,2
"@AppleSupport Sure, iPhone X (iOS 11.1.2)",sure iphone x ios 11 1 2,"@315733 Great! Thank you for letting us know. To confirm, you want to disable the Keyboard Shortcut option from the keyboard. Is that correct?",2
@AppleSupport just had this pop up! What should I do? https://t.co/ZWUCIqy9rJ,just had this pop up what should i do,@388735 You're in the right place for help. The following article provides steps to resolving this issue. https://t.co/qr0pQfKgYD,2
"FaceID security problem.
@115858 @AppleSupport #FaceID #iPhoneX #FaceIDfault https://t.co/dVja4EwwQN",faceid security problem faceid iphonex faceidfault,@569867 Thank you for reaching out. We're happy to look into this further with you. Please send us a DM. https://t.co/GDrqU22YpT,2
"@115858 explain to me a 7+ that’s barely a year old, is hardly working now? why soon as i ordered the X, this joint start acting up?",explain to me a 7 that's barely a year old is hardly working now why soon as i ordered the x this joint start acting up,@672847 We'd be happy to look into this with you. Send us a DM and let us know what's happening with your iPhone 7 Plus. We'll take it from there. https://t.co/GDrqU22YpT,2
Can I get iOS 10 back? @AppleSupport,can i get ios 10 back,"@376988 Hi there. If you're experiencing any issues, we're happy to help. Please DM us and we'll go from there. https://t.co/GDrqU22YpT",2
@AppleSupport iPhone 7 and it’s won’t  recognize my fingers just keeps saying cover home button completely but I am,iphone 7 and it's won't recognize my fingers just keeps saying cover home button completely but i am,@405535 Thanks for verifying that for us. We'd like to have you meet us in DM for further testing. https://t.co/GDrqU22YpT,2
"İphone 7 plus telefonlarda ses problemi varmış, keşke problemi halletmeden satmasaydınız. Artık benim de böyle bir problemin var @115858",phone 7 plus telefonlarda ses problemi varm ke ke problemi halletmeden satmasayd n z art k benim de b yle bir problemin var,@187284 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,2
What the fucking is going on @115858 i still can’t type i without it autocorrecting to I️,what the fucking is going on i still can't type i without it autocorrecting to i,"@461214 Hi. We're here to help. DM us and tell us which device you're using and the version of OS it's running, https://t.co/GDrqU22YpT",2
@AppleSupport two Macs now #MacMailCrashing under #highsierra - 12x daily - containers dirs Xed - safe mode - #imissstevejobs,two macs now macmailcrashing under highsierra - 12x daily - containers dirs xed - safe mode - imissstevejobs,@678371 We want you to be able to rely on your important messages. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,2
@115858 my phone keeps fucking dying at 16% wtf so annoying fix your batteries longevity 🙄,my phone keeps fucking dying at 16 wtf so annoying fix your batteries longevity,@579362 We can help with battery life. Just Direct Message us and let us know what country you're located in and we'll get started. https://t.co/GDrqU22YpT,2
@115858 Siri informs me the genius folks can help me with this. Might as well set up a tent in store I’m such a regular 🙄🙄,siri informs me the genius folks can help me with this might as well set up a tent in store i'm such a regular,@502237 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,2
@AppleSupport Safe mode didn’t work but I worked some magic and got it working. Had to nuke everything and start fresh but at least it’s working. https://t.co/UndKbq4ztH,safe mode didn't work but i worked some magic and got it working had to nuke everything and start fresh but at least it's working,@474334 We are glad that you are all set. Reach out again if you need further assistance.,2
@AppleSupport why is my phone turning “I️” to I️ ??? I️ didn’t do anything for this to start happening why would y’all do this on your own?,why is my phone turning i to i i didn't do anything for this to start happening why would y'all do this on your own,@125613 We'd like to help. Which iOS version is installed on your iPhone currently?,2
Safari no me deja entrar a FB ni abrir links que lleven a FB. 😠😠 @AppleSupport https://t.co/24WrA1Zevh,safari no me deja entrar a fb ni abrir links que lleven a fb,@376368 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,2
"@170666 @115858 the iPhone update is awful. Fix it, make it go back. Drains the battery and everything is ugly",the iphone update is awful fix it make it go back drains the battery and everything is ugly,"@534778 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",2
ABOUT TO MARCH MY ASS DOWN TO @115858 and ask why tf my dumb phone won’t install the update. Why so boujie lately... #pissedoff #ios11 #fail,about to march my ass down to and ask why tf my dumb phone won't install the update why so boujie lately pissedoff ios11 fail,@197964 DM us using the link below. We're glad to work with you to find out why you're unable to update your iPhone. https://t.co/GDrqU22YpT,2
@AppleSupport 10.3.3,10 3 3,@316092 What do you see in Settings &gt; General &gt; Software Updates and in iTunes when connected to your computer? Let's DM from here: https://t.co/GDrqU22YpT,2
@AppleSupport ima need y’all to fix the “I️” k thanks.,ima need y'all to fix the i k thanks,@398536 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/tqme2m68En,2
@AppleSupport Still there https://t.co/U7tuCiWdz0,still there,@217052 Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,2
@AppleSupport WiFi on my IPhone keeps randomly switching on after I updated my phone. Is there like some kind of way to fix it ?,wifi on my iphone keeps randomly switching on after i updated my phone is there like some kind of way to fix it,@471590 We're here to help you. Did you disable your Wi-Fi in the Settings or Control Center? Let us know.,2
@115858 Genius destroys my MacBook during repair,genius destroys my macbook during repair,@423990 Hello. We'd like to look into this further. Please meet us in a DM and briefly share what's happened. https://t.co/GDrqU2kzhr,2
Can I charge my iPhone X wirelessly overnight? @AppleSupport,can i charge my iphone x wirelessly overnight,"@230296 Yes, the iPhone X is built for wireless charging overnight. DM us any other questions. https://t.co/GDrqU22YpT",2
"So we really just gonna ignore this in the 11.1 update @applesupport ?

oh ok. https://t.co/bOnwOeMNlp",so we really just gonna ignore this in the 11 1 update oh ok,@480055 We're here for you. Please reach out to us via DM and we can go from there. https://t.co/GDrqU22YpT,2
Hey @115858 u gotta do something bout the new update! ITS TERRIBLE! So annoyed!! 😠,hey u gotta do something bout the new update its terrible so annoyed,@389494 Let's look into this together. Could you tell us which iPhone and iOS 11 update you're currently using?,2
@AppleSupport 11.0.3.  All app are up to date.,11 0 3 all app are up to date,"@650950 Thanks. Send us a DM with the country that you are located in, and we will proceed from there. https://t.co/GDrqU22YpT",2
@115858 and @13689 HELP https://t.co/P85uDqA8zc,and help,"@580065 You're in the right place for help. To start, what is the iOS version shown in Settings &gt; General &gt; About?",2
@AppleSupport my battery issue has not been resolved. I went to the Apple store and you guys wanted to charge ME $100 for YOUR defect ? NoTY,my battery issue has not been resolved i went to the apple store and you guys wanted to charge me 100 for your defect noty,@162277 Thanks for bringing this to our attention. Click here to meet us in DM. We'll pick up there: https://t.co/GDrqU22YpT,2
@AppleSupport Omg yesss thank you !!!!,omg yesss thank you,@138689 You're very welcome. Please let us know if you have any additional questions. We're happy to help. Have a great evening!,2
"@115858 you guys know exactly wtf going on here! 

Me shouldn’t have to type “me” instead of “I️”🙄😒 https://t.co/1cQ6woR2b1",you guys know exactly wtf going on here me shouldn't have to type me instead of i,@506056 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
Hey @115858 please fixing my fucking I️ it’s getting really annoying,hey please fixing my fucking i it's getting really annoying,"@669337 We want to help. An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/ahjigcvFRG",2
@AppleSupport why was my alarm set for 5:30am and my alarm just went off now...,why was my alarm set for 5 30am and my alarm just went off now,@299094 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,2
Yo @115858 fix this questionable box problem everytime I type “I”.,yo fix this questionable box problem everytime i type i,@528104 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
I️ HATE THIS STUPID GLITCH @115858 GET YOUR SHIT TOGETHER,i hate this stupid glitch get your shit together,"@800889 We can help with this. An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6",2
@AppleSupport since I updated to iOS 11.0.2 I have no WiFi. When will this problem be fixed?,since i updated to ios 11 0 2 i have no wifi when will this problem be fixed,"@202204 We'd like to look into this with you. To get started, let us know which device you have.",2
@AppleSupport When others type,when others type,"@662252 Thank you. What you are seeing are others having the issue. If you're not seeing it when you type, your iPhone is working as it should.",2
@AppleSupport I tried in the storage management first then in Finder.,i tried in the storage management first then in finder,"@463818 When you drag the app to the trash can, what happens?",2
Okay @115858 literally WHAT THE FUCK I have a 6s and it won’t stop glitching and literally not working 👿😡🤬,okay literally what the fuck i have a 6s and it won't stop glitching and literally not working,@479622 We're here to help. DM us which iOS version your iPhone is using &amp; we'll go from there. https://t.co/GDrqU22YpT,2
@115858 can you have an update where i can turn off voice control completely?,can you have an update where i can turn off voice control completely,@599920 We're happy to help. What device are you inquiring about Voice Control?,2
@AppleSupport @115858 laptop not working from 3rd week &amp; don't want to replace it! #apple I've heard that u have the best customer experience,laptop not working from 3rd week and don't want to replace it apple i've heard that u have the best customer experience,@176847 We'd love to assist you. DM us at the link below for further assistance. https://t.co/GDrqU22YpT,2
@AppleSupport how can I cancel an order that’s not been dispatched,how can i cancel an order that's not been dispatched,"@306944 We appreciate you reaching out to us. Our Sales team can help with this, please contact them here: https://t.co/8yjRd1Xo0i",2
I keep seeing question marks all over my timeline and also my Bluetooth always randomly turns on??? wtf @115858 I want a refund,i keep seeing question marks all over my timeline and also my bluetooth always randomly turns on wtf i want a refund,"@277743 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",2
@AppleSupport I messaged you 7 hours ago.. no response.,i messaged you 7 hours ago no response,@192785 We've received your DM. Please check there for our reply.,2
"@AppleSupport Hello, yes physical CD and yes. I’m using iOS 11.1 on my iPhone 6s and yes I am a Apple Music member.",hello yes physical cd and yes i'm using ios 11 1 on my iphone 6s and yes i am a apple music member,"@662819 Got it. Since some of your tracks are appearing in gray text, please complete the steps shown here: https://t.co/6wJMul42Mo
Please let us know how that goes.",2
i also feel like an android user with all these god damn question marks. i got a whole ass iPhone. Fix this shit @115858,i also feel like an android user with all these god damn question marks i got a whole ass iphone fix this shit,@171354 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.,2
@AppleSupport useless https://t.co/y4o3XUWCDA,useless,@224257 We can assist you. Do you have access to a computer with iTunes that we can use to attempt the software update?,2
@AppleSupport Apple Music,apple music,@485360 Thanks for verifying that you're using the Music app. DM us which iPhone you have and the iOS version it's running. https://t.co/GDrqU22YpT,2
@AppleSupport my airprint isn’t working ☹️,my airprint isn't working,@136597 We're here for you!  What device and iOS / OS version are you using? https://t.co/GDrqU22YpT,2
@AppleSupport HELPPP,helppp,@423072 We'd be happy to assist in any way possible. What's going on?,2
@AppleSupport I have noticed a huge dip in my battery life since the new update. Any known issues on this?,i have noticed a huge dip in my battery life since the new update any known issues on this,@283169 Having as long a battery life as possible is what we want. Which model is it and is iOS 11.0.2 installed? Steps tried?,2
@AppleSupport @115858 And the draining of the battery still hasn't been fixed that was an issue with the first update sent out.,and the draining of the battery still hasn't been fixed that was an issue with the first update sent out,@283013 Let's tackle both of your device's issues. Which model do you have and does it have iOS 11.0.2 installed? Any steps tried so far?,2
This update is assssss !!!!!!!!! @115858 https://t.co/yhON4L3rQ5,this update is assssss,"@458421 What's going on with your device after updating? Let us know, we'd be happy to help. DM us. https://t.co/GDrqU22YpT",2
@115858 please fix the I.T issue. I’m tired of having to type “it” FIVE TIMES  to make it say  it!,please fix the i t issue i'm tired of having to type it five times to make it say it,"@678071 We absolutely want to help with this. What device are you using, and what OS version is installed? Let us know in DM. We’re here for you. https://t.co/GDrqU22YpT",2
"@AppleSupport my 6 is now shutting down when battery hits 75% or so. When I plug it back in, it shows 0 batt then jumps to 80% immediately.",my 6 is now shutting down when battery hits 75 or so when i plug it back in it shows 0 batt then jumps to 80 immediately,@459896 Send us a DM and let us know what version of iOS you're running. We'll go from there. https://t.co/GDrqU22YpT,2
"@AppleSupport 2/2 the phone from the service, I've reported through mail that the screen appears to squeak when pressing a bit harder the screen on the left side. Had no answer from the technician. Now I was offered a $482 offer of replacing the iP. Is there any higher authority or it's over?",2 2 the phone from the service i've reported through mail that the screen appears to squeak when pressing a bit harder the screen on the left side had no answer from the technician now i was offered a 482 offer of replacing the ip is there any higher authority or it's over,@271748 We'd like to hear more about your experience. Feel free to DM us more information and we'll go from there: https://t.co/GDrqU22YpT,2
@AppleSupport My phone froze. Had to restart to fix. What’s happening after iOS 11 update.,my phone froze had to restart to fix what's happening after ios 11 update,@177845 We are here to help. What version of iOS 11 are you running? DM us and we'll go from there. https://t.co/GDrqU22YpT,2
@AppleSupport Apple store app says my iPhone X is ready for pickup. Is that true or do I have to wait till tomorrow to pick it up?,apple store app says my iphone x is ready for pickup is that true or do i have to wait till tomorrow to pick it up,@461021 We're excited for you! We suggest reaching out to that specific location to see if it is available for pick-up today.,2
"@AppleSupport. Hi, please tell me why I keep getting sounds and vibrations but no notifications show up. This all started when I got IOS 11 and it did stop eventually because I reset all my settings like you told me too but I got a new phone and has restarted again and won’t stop",hi please tell me why i keep getting sounds and vibrations but no notifications show up this all started when i got ios 11 and it did stop eventually because i reset all my settings like you told me too but i got a new phone and has restarted again and won't stop,@321301 We want to help. Let's continue in DM. https://t.co/GDrqU22YpT,2
"@AppleSupport @AppleSupport Yes, I am. And yes, I am.",yes i am and yes i am,@721216 Let's take a closer look at your issue. Reach out via DM using the link below. Feel free to share a screenshot of the setup screen you're on. https://t.co/GDrqU22YpT,2
These mini question marks are ruining the world! @AppleSupport fix this!,these mini question marks are ruining the world fix this,@490759 We've got your back. Check this out: https://t.co/xU1AGHStV6 DM us any questions. https://t.co/GDrqU22YpT,2
"I am using Windows 10 creators update in Mac Bootcamp and getting these weird thumbnails - (1)@MicrosoftHelps @AppleSupport https://t.co/7uNxvlodpH",i am using windows 10 creators update in mac bootcamp and getting these weird thumbnails - 1,@203867 Let's look into this for you. Let's check on the drivers. This page may help: https://t.co/ywhJeOTUBY,2
@AppleSupport I am using iOS 11.0.3. In all the iOS versions the battery backup was really poor. There is some serious problem with the battery.,i am using ios 11 0 3 in all the ios versions the battery backup was really poor there is some serious problem with the battery,@522465 Thanks. Let's get to DM for our next steps. https://t.co/GDrqU22YpT,2
"@AppleSupport been trying to sign into my Apple TV apps for two hours. Keeps telling me my Directv password is wrong. It’s not. What gives? And I’ve been on the phone with Directv already, no help there.",been trying to sign into my apple tv apps for two hours keeps telling me my directv password is wrong it's not what gives and i've been on the phone with directv already no help there,@748074 No need to worry. We'll get you on the right track with setting up your channels. You would need to connect with our Apple TV experts for this concern. Click here: https://t.co/IBIY3vMgPj,2
"Okay so watched a video of this working, and it’s a fail. Sorrry y’all 

@AppleSupport please fix this 😩😩😩 https://t.co/OszKXo1pED",okay so watched a video of this working and it's a fail sorrry y'all please fix this,"@383237 Let's look at this together in DM, we'll do what we can to help: https://t.co/GDrqU22YpT",2
@500695 Fix this @115858 https://t.co/ole23zaVme,fix this,@523912 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,7
@594476 Fix this @AppleSupport,fix this,@594475 Thanks for reaching out. We recommend the steps in our article here: https://t.co/uQeXsrrlXJ DM us with any questions. https://t.co/GDrqU22YpT,7
