eval_id,customer_tweet_id,customer_text,reply,should_escalate,correctness_human,relevance_human,groundedness_human,completeness_human,tone_human,hallucination_human,escalation_appropriate_human,example_id,correctness_llm,relevance_llm,groundedness_llm,completeness_llm,tone_llm,hallucination_llm,escalation_appropriate_llm,judge_status,judge_model,prompt_version,error
27,449438,@AppleSupport I can’t sync up with anything,"Hi! I’m sorry you’re having trouble syncing. Could you let me know which device you’re using, the iOS version, and what you’re trying to sync (e.g., iCloud, contacts, photos, etc.)? That will help me give you the right steps.",True,5,5,5,4,5,0,0,27,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
28,2616499,@739051 @AppleSupport I just bought my iphone 6 second hand. I thought it was a dodgy battery because it drained quick. It looks like I'm not the only one. Hmmmm!,"Thanks for reaching out. To help figure out why your iPhone 6 is draining quickly, could you let us know how long it lasts on a full charge, what iOS version it’s running, and if you notice any particular apps or activities that drain the battery faster? You can also check the battery health in Settings > Battery > Battery Health to see the maximum capacity. Once we have that info, we can guide you further.",True,5,5,5,4,5,0,0,28,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
29,282529,@115858 @116333 I urgently resolve the problem with my iPhone. 📱 Contact ID: 100314535803,"Hi @115858 @116333, thanks for reaching out. Could you let us know your iPhone model, the iOS version you’re running, and what issue you’re experiencing? That will help us find the best solution.",True,4,5,5,3,5,0,1,29,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
30,1204160,@AppleSupport my new iPhone 6s battery is useless. Fully charged last night and now in low power mode! Hardly used and no Apps Open!!,Thanks for reaching out. Could you let us know which iOS version your iPhone 6s is running? That will help us determine the next steps to address the battery issue.,True,5,5,5,3,5,0,0,30,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
31,2647130,My iPhone is stating to heat up when it’s just sitting there. Thanks @115858 for the hot fire update to ruin my phone......again,Hi! I’m sorry to hear your iPhone is heating up. Could you let me know which iOS version you’re running and the model of your device? That will help us investigate the issue further.,True,4,5,5,3,5,0,1,31,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
32,403562,why did my entire camera roll just randomly completely clear then restore? and why is a vid from june is the most recent item? @AppleSupport https://t.co/aTvndqZau0,"Hi! It sounds like your Camera Roll had a sync or update hiccup. To help us pinpoint the cause, could you let us know your iPhone model, iOS version, and whether iCloud Photos is enabled? Also, did you notice any recent updates or changes to your storage settings? Thanks!",True,4,5,3,4,5,1,1,32,4,5,4,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
33,1805815,"@115858 what is the procedure for degrade ios from 11 to 10..??

As your ios 11 is pathetically stupid &amp; bugicious😂","We don’t have a way to downgrade from iOS 11 to iOS 10. However, we can help you with any issues you’re having. Could you let us know your device model and the specific problems you’re experiencing? Please DM us so we can assist further.",False,4,5,3,4,5,1,0,33,5,5,5,5,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
34,2283391,@AppleSupport 3D touch in screen #ios11 isn’t work why?,"It looks like the screenshot shortcut that used a 3‑D press on the Assistive Touch button was removed in iOS 11. 3‑D Touch still works for other functions, but that particular shortcut isn’t available.  Could you let me know which iPhone model you’re using and the exact iOS version? That will help me confirm what 3‑D Touch features are supported on your device.",True,4,5,3,3,5,0,0,34,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
35,366986,@115858 I was charged for a subscription that I canceled the same day I accepted the free trails why was I charged?,"Hi @115858, I’m sorry to hear you were charged after canceling the free trial. To help resolve this, could you let me know the name of the app, the date you canceled, and any receipt or confirmation you received? Once we have those details, we can forward the issue to our iTunes support team who can investigate the charge and provide a resolution.",True,5,5,5,3,5,0,0,35,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
36,2619794,"Since the new update, my phones going so slow, stuttering and stalling 😩😩 @AppleSupport",Thanks for reaching out. Could you share your iOS version and device model? Please DM us so we can help further.,True,4,5,5,4,5,0,0,36,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
37,956058,@115858 love it when my headphones break + fuck up my phone so i cant listen to a song without wnating to throw jt at a fucking wall,"Hi @115858, sorry to hear about the trouble. It sounds like a software issue that can often be resolved by updating to the latest iOS. Could you let me know your iPhone model and current iOS version? Also, what headphones are you using? That will help us find the best fix.",True,4,5,5,4,5,0,0,37,4,5,4,4,4,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
38,284411,On god my apps have never crashed this much in a short span of time...@115858 y’all need to fix iOS 11 smh,"Hey, let’s look into this. Are the crashes happening with one app or multiple apps? Also, could you share your device model and the exact iOS version you’re running?",False,3,5,5,3,5,1,1,38,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
39,679934,"@AppleSupport So when the Apple Watch isn't able to control the music app on the phone, is it the watch, or the phone that is failing?","It could be either side. To help us pinpoint the issue, could you let us know the iOS version on your iPhone, the watchOS version on your Apple Watch, and whether the problem still occurs after restarting both devices?",False,5,5,5,3,5,0,0,39,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
40,1684529,@115858 fix yalls damn keyboard,"Sure, @115858. What issue are you having with your keyboard? Let us know the symptoms and your device model so we can help you further.",True,4,5,5,4,5,0,0,40,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
