eval_id,customer_tweet_id,customer_text,reply,should_escalate,retrieved_evidence
11,712078,@115858 this damn IOS sucks. If I’m listening to a podcast and turn volume up it goes to music. And vise versa... TERRIBLE,"Hi @115858, sorry to hear about the volume issue. Could you let us know which device you’re using and the iOS version? That will help us look into the problem. Thanks!",True,"HISTORICAL CASE 1

Customer:
@115858 @AppleSupport I’m gonna need a you to get your shit together with this ios11. Freezes every 20 minutes when I’m listening to podcasts

AppleSupport response:
@433921 We'd like to help. Which device and iOS version are you using? Tap Settings &gt; General &gt; About to find the version number.

Similarity:
0.7232

HISTORICAL CASE 2

Customer:
@115858 ios 11 has completely wrecked my phone esp podcasts and music - how/when is the next fix coming??

AppleSupport response:
@209477 We'd like to help. Send us a DM. https://t.co/GDrqU22YpT

Similarity:
0.7061

HISTORICAL CASE 3

Customer:
@115858 iOS 11 is a damn joke. It shouldn’t take this long I️ send a fix for the music and keyboard issues.

AppleSupport response:
@599539 DM us details of the music issues you're having and we'll be happy to work with you towards a resolution. https://t.co/GDrqU22YpT

Similarity:
0.6792"
12,2140986,Hi @AppleSupport. I️ have an issue when I️ type the letter I️. Just saw it on a friend’s message. Screenshot below. Can you help? https://t.co/LLZxw7CoPV,Hi! It sounds like a keyboard autocorrect glitch. The latest iOS update includes a fix for this. Could you let us know your device model and the iOS version you’re running? That’ll help us confirm the best next step.,False,"HISTORICAL CASE 1

Customer:
So why is this 👉🏾 I️ happening every time i type the letter i? @AppleSupport @115858

AppleSupport response:
@595009 We'd be happy to work with you. These steps can help: https://t.co/xXaXeeSRt9

DM us if the issue continues. https://t.co/GDrqU22YpT

Similarity:
0.8497

HISTORICAL CASE 2

Customer:
@AppleSupport The fact this happens I️ when ever I type the letter “I”

AppleSupport response:
@701070 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6

Similarity:
0.8000

HISTORICAL CASE 3

Customer:
Everytime I type the letter ""I"" this pops up. #PleaseFixThis @115858 https://t.co/bhB5snCHXr

AppleSupport response:
@123680 We're here to help. DM us and tell us the device you have and the exact version of iOS you're running. https://t.co/GDrqU22YpT

Similarity:
0.7934"
13,2558616,stop automatically putting my wifi &amp; bluetooth on @115858,"Hi! I’m sorry you’re having trouble with Wi‑Fi and Bluetooth turning on automatically. Could you let me know which iPhone model you’re using, what iOS version it’s running, and whether you’ve already turned Wi‑Fi and Bluetooth off in Settings? That info will help us figure out why they’re re‑activating. Thanks!",True,"HISTORICAL CASE 1

Customer:
Can you stop turning my Bluetooth on I have it off for a reason @115858

AppleSupport response:
@116382 We'd like to help you out. Could you clarify what steps you're taking to turn off Bluetooth on your device?

Similarity:
0.7003

HISTORICAL CASE 2

Customer:
@115858 fix your shit. why does Bluetooth automatically come on when I reboot my phone?

AppleSupport response:
@695760 We’d love to team up to see why this is happening. To begin, which iPhone model and iOS version are you using? Also, do you have Bluetooth turned on in Settings &gt; Bluetooth?

Similarity:
0.6793

HISTORICAL CASE 3

Customer:
@115858 why does my iPhone automatically turn WiFi or Bluetooth on ? I turn it off for a reason and yet it turns itself on!!! Help a brother out?

AppleSupport response:
@735336 We can look into this issue together. Shoot us a DM and we'll get started. https://t.co/GDrqU22YpT

Similarity:
0.6644"
14,2076419,"@614107 @115858 Literally! My phone keeps freezing and I have to keep hard resetting it, proper annoying",We’re sorry to hear your phone keeps freezing. Could you let us know which iPhone model you have and the iOS version you’re running? That will help us find the best solution for you.,True,"HISTORICAL CASE 1

Customer:
@115858 why does my phone keep fucking freezing?😡🙃

AppleSupport response:
@593490 We'd like to look into this together. Does this happen when taking any specific actions? Let us know more in DM, please. https://t.co/GDrqU22YpT

Similarity:
0.8091

HISTORICAL CASE 2

Customer:
@115858 my phone freezes like 10 times per day......... and I’m a good person so I avoid force rebooting it unless it really doesn’t unstick

AppleSupport response:
@196526 Let's look into this together. Could you tell us which iPhone and iOS version you're using?

Similarity:
0.8054

HISTORICAL CASE 3

Customer:
@115858 hey it would be really nice if you could fix your fucking software so my phone didn’t freeze every 5 minutes whenever I try to use my fucking phone :-)

AppleSupport response:
@723914 We definitely don't want your phone to be unresponsive or anything like that. We'll be happy to see how we can help. So we have a better idea of what's going on, can you tell us which iPhone and iOS version you're using?

Similarity:
0.7809"
15,1522739,I took such a nice snap and then my phone froze. @115858 I hate your new iOS. Fix. It.,"Hi, sorry to hear your phone froze after taking a photo. To help us look into this, could you share your device model, iOS version, and your country?",True,"HISTORICAL CASE 1

Customer:
@115858 the new IOS sucks! It’s so glitchy and keeps freezing my phone!!! 😠

AppleSupport response:
@567777 We'd like to see how we can help. Meet us in DM and give us some examples of what you're experiencing. https://t.co/GDrqU22YpT

Similarity:
0.7330

HISTORICAL CASE 2

Customer:
This last IOS broke my phone @115858 you need to do something soon! It’s the worst

AppleSupport response:
@325570 Hi there. What exactly is going on with your phone? Please let us know in DM; we'd like to help. https://t.co/GDrqU22YpT

Similarity:
0.7246

HISTORICAL CASE 3

Customer:
ever since I downloaded the latest ios update my phone has been lagging and freezing...unfuck your self @115858

AppleSupport response:
@566656 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT

Similarity:
0.7159"
16,208261,@AppleSupport On my MBP with Yosemite I can’t update any app nor download new because verification always fail. How do I turn it off?,"Could you share your Mac model, the exact OS version, your App Store account details, and any error messages you see? Let’s discuss this in a DM so we can dig deeper.",True,"HISTORICAL CASE 1

Customer:
@AppleSupport Ok so if my apps aren’t updating how do I️ fix it?

AppleSupport response:
@533051 Let's look into it together. Send us a DM and we'll get started. https://t.co/GDrqU22YpT

Similarity:
0.6837

HISTORICAL CASE 2

Customer:
@AppleSupport my phone is stuck on ""Verifying update"" i cant unlock it due to this and its been stuck like this for two hours now :(

AppleSupport response:
@297251 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.

Similarity:
0.6626

HISTORICAL CASE 3

Customer:
@AppleSupport I also can‘t load any app updates “download not available”

AppleSupport response:
@128329 We'd like to look into this further with you. Can you send us a DM with the country you're located in? https://t.co/GDrqU22YpT

Similarity:
0.6490"
17,1020880,"@AppleSupport I pre-purchased a book in iBooks that should be available now, but iBooks only shows it as bought - can‘t download. Now what?","Hi @AppleSupport, sorry to hear that. First, check if the book appears in your Purchased section in Books. If it does, make sure you’re signed in with the same Apple ID on the device. Also let me know your iOS version and device model so we can look further.",True,"HISTORICAL CASE 1

Customer:
Bought a book on iBook but it’s not downloading. Still showing as sample. Explain @AppleSupport

AppleSupport response:
@531794 We'd be happy to help. Do you see this book in your Purchased section? Our website here has more info: https://t.co/I39AyMJNgb

Similarity:
0.8596

HISTORICAL CASE 2

Customer:
@AppleSupport iTunes is refusing to sync the books I have on my Mac iBooks with my iPad iBooks. In fact, it just refuses to show that the books on my Mac are even in there. https://t.co/ZrwrpzGSS7

AppleSupport response:
@680591 Thanks for reaching out.  We want to help. Are you signed in to the same Apple ID on both devices?

Similarity:
0.6503

HISTORICAL CASE 3

Customer:
@AppleSupport just bought an album. Keeps saying item is not available when I try to play it in Music. It won’t let download it either.

AppleSupport response:
@245206 We'd like to help you enjoy the music you purchased. What happens when you try to download the album?Also, which iOS version are you running?

Similarity:
0.5234"
18,768168,My iPhone does nothing but freeze since doing the new update 😡😡😡😡 @115858 @AppleSupport,Hi! I’m sorry to hear your iPhone is freezing after the update. Could you let me know which iPhone model you have and the exact iOS version you’re running? That will help us find the best solution for you.,True,"HISTORICAL CASE 1

Customer:
@115858 @AppleSupport new update is terrible. My brand new iPhone keeps freezing repeatedly. I’ve had an iPhone for years, never happened

AppleSupport response:
@162364 Let's make sure you're able to enjoy your new iPhone! Which iPhone are you using? Have you updated to iOS 11.0.2?

Similarity:
0.9015

HISTORICAL CASE 2

Customer:
So like my iPhone 7 keeps freezing ever since I did the latest update??? What’s going on???? @115858 @AppleSupport

AppleSupport response:
@310545 That's not expected behavior. We want you to be able to use your phone. Let's work together on this in DM. https://t.co/GDrqU22YpT

Similarity:
0.8409

HISTORICAL CASE 3

Customer:
After numerous updates ...
My IPhone SE is still freezing and fucking up 
@115858 @AppleSupport &gt; sort it out!!!

AppleSupport response:
@544937 That’s not the experience we want for you. DM us the version of iOS 11 your iPhone is on &amp; we’ll work towards a resolution. https://t.co/GDrqU22YpT

Similarity:
0.8338"
19,2283108,"@AppleSupport Hi, I just wanted to find out what ssd drives I can use on my MacBook Pro 2015 as my current one is water damaged","Thanks for reaching out. To recommend compatible SSDs for your 2015 MacBook Pro, we need to know the exact model (e.g., 13‑inch 2015, 15‑inch 2015, or 2015 with Retina). Could you share the model identifier or serial number? Once we have that, we can suggest compatible SSD options.",True,"HISTORICAL CASE 1

Customer:
@AppleSupport @115858 what laptop should I buy MacBook, MacBook Air, or MacBook Pro I want to use this for editing &amp; entertaining purposes

AppleSupport response:
@369802 Thank you for your interest in our products. Let's help get you into the right hands. Please visit: https://t.co/8yjRd1Xo0i

Similarity:
0.4031

HISTORICAL CASE 2

Customer:
Hey @AppleSupport , I need help with installing macOS on my formatted hard drive on my MacBook Pro mid 2010 model. I've sent a DM

AppleSupport response:
@348156 We've got your DM's, and we look forward to working with you there. https://t.co/GDrqU22YpT

Similarity:
0.4028

HISTORICAL CASE 3

Customer:
@115858 @AppleSupport are you guys now selling mid 2017 or late 2017 MacBook Pro?

AppleSupport response:
@406105 Thanks for reaching out! For questions about purchasing a new Mac, reach out to our sales support here: https://t.co/8yjRd1Xo0i

Similarity:
0.3912"
20,1933305,Hey @115858. Fix your iOS. Bluetooth is supposed to work.,"Hey @115858, sorry to hear Bluetooth isn’t working. Which device are you pairing with? Also, what iOS version is on your phone? Have you restarted the device since the issue started?",True,"HISTORICAL CASE 1

Customer:
@115858 please fix this bug on your iOS your stupid “fix I️t” solution isn’t working

AppleSupport response:
@527716 Send us a DM &amp; we'll continue working there. https://t.co/GDrqU22YpT

Similarity:
0.7564

HISTORICAL CASE 2

Customer:
@115858 my Bluetooth has not worked in days WTF Apple.

AppleSupport response:
@740625 We're here to help. Which device are you using with Bluetooth?

Similarity:
0.7510

HISTORICAL CASE 3

Customer:
Don’t know if this is a @1511 or iOS problem but Bluetooth is hardly ever recognised these days. @AppleSupport  @281282 https://t.co/9IKrnEXZmU

AppleSupport response:
@346747 We can see what you mean and want to help. Have your Fitbit and iPhone been restarted since you noticed the issue?

Similarity:
0.7376"
21,2255501,"@AppleSupport It’s not a specific app. When out in the cold, typing just freezes up.","It sounds like the keyboard is freezing when the device gets cold. To help troubleshoot, could you let us know which iOS version you’re running and the model of your iPhone?",True,"HISTORICAL CASE 1

Customer:
@AppleSupport Delyed while typing texts, takes a while to catch up, my apps won’t open majority of the time flicks on then shuts off straight away and when apps do work they freeze so need to restart my phone. Annoying.

AppleSupport response:
@697408 Got it, thank you very much. Are you currently running iOS 11.1.1? You can view this under Settings &gt; General &gt; About.

Similarity:
0.7108

HISTORICAL CASE 2

Customer:
@115858 @AppleSupport Like thiS and the fact that it takes me 20 minutes to type one text because the app keeps crashing. THE FUCKING MESSAGE APP WTF IS THIS https://t.co/dYaMRmtJjk

AppleSupport response:
@600827 We want to be sure you can use your iPhone as you'd expect. We'd like to help! DM us and we'll look into this further with you. https://t.co/GDrqU22YpT

Similarity:
0.6905

HISTORICAL CASE 3

Customer:
@AppleSupport It’s very slow opening apps. While typing in texting, Twitter, etc. there is a considerable lag between when I press the letter and when it shows up on the screen. Those are the main problems.

AppleSupport response:
@782598 Which version of iOS 11 you have installed on your device. You'll see this in Settings &gt; General &gt; About. Please tell us in DM. https://t.co/GDrqU22YpT

Similarity:
0.6856"
22,2060791,Aftr t new app update @4305 doesn't show notifications until I open the https://t.co/srWvNzKJrn @AppleSupport,"Hi @AppleSupport, sorry you’re having trouble with notifications after the app update. Could you let us know which iPhone/iPad model you’re using and the iOS version? Also, please check Settings → Notifications to confirm that notifications are enabled for that app. Once we have that info we can guide you further.",True,"HISTORICAL CASE 1

Customer:
@AppleSupport what’s going on with the new update? It’s not showing the little red notification above an app anymore 🙄🙄🙄🙄🙄🙄🙄

AppleSupport response:
@591763 We want to help with this! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded? https://t.co/GDrqU22YpT

Similarity:
0.7836

HISTORICAL CASE 2

Customer:
@AppleSupport I meant that ever since I updated my iOS to the latest version, I’m not getting any notifications from any app. That’s really annoying

AppleSupport response:
@362814 We're happy to help! Please go to Settings &gt; Notifications. Then DM us with the country you're in for additional help. https://t.co/GDrqU22YpT

Similarity:
0.7574

HISTORICAL CASE 3

Customer:
@AppleSupport now this is going on...
11.1.1 and the notifications are still screwed up https://t.co/hXUflzILkh

AppleSupport response:
@498939 How often does this happen? Is it happening with all notifications?

Similarity:
0.7237"
23,862723,"@115858  plan on fixing all these bugs since the update? ANYTIME a new phone comes out, my perfectly fine old one starts messing up🙄","Thanks for reaching out. To help us address the bugs after the latest update, could you share your device model, iOS version, and a brief description of the problems you’re experiencing?",True,"HISTORICAL CASE 1

Customer:
@115858 everyone of your new updates has done nothing but bug my phone more and more everytime😑

AppleSupport response:
@700264 We're here to help. To start, what device model are you using and what issue(s) are you experiencing exactly?

Similarity:
0.8025

HISTORICAL CASE 2

Customer:
@115858 can y’all get these updates right? My phone is still bugging out

AppleSupport response:
@739541 We want to help you with this. Can you tell us more about what you're experiencing? Is this occurring with iOS 11.1.2?

Similarity:
0.7917

HISTORICAL CASE 3

Customer:
Updated my phone last night and now I’m having a million problems with my phone. Thanks @115858

AppleSupport response:
@697903 We're here for you. Send us a DM with the details of the issues you're experiencing and we'll get started there. https://t.co/GDrqU22YpT

Similarity:
0.7912"
24,1620586,So I️ think everyone accepted the stupid fucking question mark boxes @115858 except me this shit is annoying,"Hi, I understand the question‑mark boxes are frustrating. The quickest fix is to back up your device and update to the latest iOS. Let me know your device model and iOS version so I can guide you through the backup and update steps.",True,"HISTORICAL CASE 1

Customer:
Okay these question mark boxes that appear whenever referring to myself is annoying @115858 fix this shit immediately

AppleSupport response:
@661415 We are here to help. Let's backup your device and update to the newest version available. Let us know if you need further help.

Similarity:
0.7366

HISTORICAL CASE 2

Customer:
@115858 fix that box and question mark shit

AppleSupport response:
@629936 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9

Similarity:
0.6899

HISTORICAL CASE 3

Customer:
@115858 fix the damn question mark boxes!

AppleSupport response:
@508863 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH

Similarity:
0.6859"
25,873948,"Hey @AppleSupport, the update to the podcast app seems to have added a click or two to the process of actually playing a podcast 👎","Thanks for reaching out! To help us pinpoint the issue, could you let us know which iPhone or iPad model you’re using and the iOS version? Also, what steps do you take from opening the app to actually starting playback? If you’ve tried restarting or reinstalling the app, that would be helpful to know as well.",True,"HISTORICAL CASE 1

Customer:
@AppleSupport Only podcasts were effected. I was using the second to most recent version, I updated after it happened in the vain hopes it was a glitch an update could fix. I’m now downloading the back catalogs very, very, very slowly.

AppleSupport response:
@667521 Do you remember anything happening around the time this happened? Did you sign out of your account or change an Apple ID email address, that you remember?

Similarity:
0.7530

HISTORICAL CASE 2

Customer:
@AppleSupport why won’t the podcast app automatically play the next episode? #iOS11 encourages me to mess w/ my phone while driving.

AppleSupport response:
@529467 We'd like to help. This shows how to add an episode to 'Up Next', so you can listen continuously: https://t.co/0gqixjw5bJ

Similarity:
0.7504

HISTORICAL CASE 3

Customer:
@AppleSupport 11.1.2, Apple Music/Podcasts app. Both have the bug

AppleSupport response:
@796312 Can you tell us anything you've attempted so far to fix this?

Similarity:
0.7451"
